participant_id,mode,item_id,correct_verification,verification_time_s,nasa_tlx,confidence_1_5
L01,LLM answer only,CV_01,False,108,72.5,3.6
L02,LLM answer only,CV_01,False,109,72.4,2.9
L03,LLM answer only,CV_01,True,198,62.7,3.3
L04,LLM answer only,CV_01,True,170,42.8,4.2
L05,LLM answer only,CV_01,False,132,69.1,2.8
L06,LLM answer only,CV_01,False,111,55.5,3.4
L07,LLM answer only,CV_01,False,147,52.5,3.5
L08,LLM answer only,CV_01,False,257,63.6,3.0
L09,LLM answer only,CV_01,False,168,53.9,3.7
L10,LLM answer only,CV_01,False,77,53.5,3.7
L11,LLM answer only,CV_01,False,121,59.5,1.7
L12,LLM answer only,CV_01,False,137,69.4,3.0
L01,LLM answer only,CV_02,True,65,58.4,2.9
L02,LLM answer only,CV_02,True,144,64.4,3.8
L03,LLM answer only,CV_02,True,151,64.2,3.5
L04,LLM answer only,CV_02,True,97,56.3,3.3
L05,LLM answer only,CV_02,False,214,70.6,2.7
L06,LLM answer only,CV_02,True,134,56.9,3.5
L07,LLM answer only,CV_02,True,191,54.8,3.3
L08,LLM answer only,CV_02,True,108,75.7,2.4
L09,LLM answer only,CV_02,True,153,60.9,3.3
L10,LLM answer only,CV_02,True,229,46.5,3.8
L11,LLM answer only,CV_02,True,153,61.6,3.9
L12,LLM answer only,CV_02,False,166,55.5,3.2
L01,LLM answer only,CV_03,True,91,55.8,2.4
L02,LLM answer only,CV_03,True,129,67.8,3.2
L03,LLM answer only,CV_03,True,109,42.5,3.3
L04,LLM answer only,CV_03,False,135,45.3,3.0
L05,LLM answer only,CV_03,True,103,61.8,3.1
L06,LLM answer only,CV_03,True,215,69.4,3.7
L07,LLM answer only,CV_03,False,79,67.9,3.2
L08,LLM answer only,CV_03,False,204,65.0,3.8
L09,LLM answer only,CV_03,True,162,50.5,3.2
L10,LLM answer only,CV_03,True,158,61.1,3.2
L11,LLM answer only,CV_03,True,98,54.8,4.2
L12,LLM answer only,CV_03,True,72,47.4,2.7
L01,LLM answer only,CV_04,True,112,70.8,3.6
L02,LLM answer only,CV_04,True,105,67.5,2.6
L03,LLM answer only,CV_04,True,133,51.2,2.8
L04,LLM answer only,CV_04,False,131,67.3,2.0
L05,LLM answer only,CV_04,True,404,60.5,3.6
L06,LLM answer only,CV_04,False,105,57.3,3.5
L07,LLM answer only,CV_04,False,89,53.6,3.0
L08,LLM answer only,CV_04,True,172,67.1,4.0
L09,LLM answer only,CV_04,True,66,71.4,3.8
L10,LLM answer only,CV_04,False,88,64.3,3.6
L11,LLM answer only,CV_04,True,136,62.0,3.6
L12,LLM answer only,CV_04,True,136,56.0,2.3
L01,LLM answer only,CV_05,False,87,62.0,3.0
L02,LLM answer only,CV_05,True,169,69.3,2.7
L03,LLM answer only,CV_05,True,72,65.5,3.0
L04,LLM answer only,CV_05,False,151,56.2,2.6
L05,LLM answer only,CV_05,False,58,66.4,3.2
L06,LLM answer only,CV_05,True,201,59.5,3.6
L07,LLM answer only,CV_05,True,57,59.3,2.3
L08,LLM answer only,CV_05,False,150,78.1,4.3
L09,LLM answer only,CV_05,True,136,63.8,3.3
L10,LLM answer only,CV_05,False,100,60.8,3.7
L11,LLM answer only,CV_05,False,148,43.1,3.4
L12,LLM answer only,CV_05,True,82,50.7,2.6
L01,LLM answer only,CV_06,False,85,59.1,3.2
L02,LLM answer only,CV_06,False,84,62.8,2.2
L03,LLM answer only,CV_06,True,129,74.5,2.8
L04,LLM answer only,CV_06,False,119,68.4,3.9
L05,LLM answer only,CV_06,True,112,75.3,3.8
L06,LLM answer only,CV_06,True,163,58.3,3.5
L07,LLM answer only,CV_06,True,192,63.3,3.0
L08,LLM answer only,CV_06,True,103,43.5,2.8
L09,LLM answer only,CV_06,False,65,56.0,2.8
L10,LLM answer only,CV_06,False,74,64.4,2.5
L11,LLM answer only,CV_06,True,149,61.3,2.7
L12,LLM answer only,CV_06,True,91,59.7,1.9
L01,Textual rationale,CV_01,True,112,57.1,3.2
L02,Textual rationale,CV_01,True,48,48.8,2.6
L03,Textual rationale,CV_01,False,74,48.7,4.5
L04,Textual rationale,CV_01,False,128,59.1,3.0
L05,Textual rationale,CV_01,True,206,62.9,3.5
